RunID;RunDateTime;Moves HTM Count
200;2025-04-24 09:30:45;108
200;2025-04-24 09:30:45;108
200;2025-04-24 09:30:45;115
200;2025-04-24 09:30:45;116
200;2025-04-24 09:30:45;94
200;2025-04-24 09:30:45;121
200;2025-04-24 09:30:45;102
200;2025-04-24 09:30:45;102
200;2025-04-24 09:30:45;107
201;2025-04-24 09:31:25;95
201;2025-04-24 09:31:25;82
201;2025-04-24 09:31:25;82
201;2025-04-24 09:31:25;95
201;2025-04-24 09:31:25;82
201;2025-04-24 09:31:25;82
201;2025-04-24 09:31:25;94
201;2025-04-24 09:31:25;81
201;2025-04-24 09:31:25;81
201;2025-04-24 09:31:25;95
202;2025-04-24 09:31:54;77
202;2025-04-24 09:31:54;78
202;2025-04-24 09:31:54;78
202;2025-04-24 09:31:54;78
202;2025-04-24 09:31:54;79
202;2025-04-24 09:31:54;79
202;2025-04-24 09:31:54;77
202;2025-04-24 09:31:54;78
202;2025-04-24 09:31:54;78
202;2025-04-24 09:31:54;78
203;2025-04-24 09:32:23;115
203;2025-04-24 09:32:23;120
203;2025-04-24 09:32:23;131
203;2025-04-24 09:32:23;120
203;2025-04-24 09:32:23;125
203;2025-04-24 09:32:23;132
203;2025-04-24 09:32:23;134
203;2025-04-24 09:32:23;115
203;2025-04-24 09:32:23;120
203;2025-04-24 09:32:23;131
204;2025-04-24 09:32:52;94
204;2025-04-24 09:32:52;96
204;2025-04-24 09:32:52;106
204;2025-04-24 09:32:52;112
204;2025-04-24 09:32:52;112
204;2025-04-24 09:32:52;115
204;2025-04-24 09:32:52;115
204;2025-04-24 09:32:52;112
204;2025-04-24 09:32:52;119
204;2025-04-24 09:32:52;121
205;2025-04-24 09:33:11;93
205;2025-04-24 09:33:11;85
205;2025-04-24 09:33:11;93
205;2025-04-24 09:33:11;85
205;2025-04-24 09:33:11;93
205;2025-04-24 09:33:11;85
205;2025-04-24 09:33:11;93
205;2025-04-24 09:33:11;85
205;2025-04-24 09:33:11;84
205;2025-04-24 09:33:11;84
206;2025-04-24 09:36:13;129
206;2025-04-24 09:36:13;129
